iter	Passed	Remaining
662	1677	852
663	1679	850
664	1682	847
665	1684	844
666	1686	841
667	1688	839
668	1690	836
669	1692	833
670	1694	830
671	1696	828
672	1698	825
673	1700	822
674	1702	819
675	1704	816
676	1706	814
677	1708	811
678	1710	808
679	1713	806
680	1715	803
681	1717	800
682	1719	798
683	1721	795
684	1723	792
685	1725	789
686	1726	786
687	1728	783
688	1730	781
689	1732	778
690	1734	775
691	1737	773
692	1739	770
693	1741	767
694	1743	765
695	1745	762
696	1747	759
697	1749	757
698	1752	754
699	1754	751
700	1755	748
701	1757	746
702	1759	743
703	1761	740
704	1764	738
705	1766	735
706	1768	732
707	1770	730
708	1772	727
709	1774	724
710	1776	722
711	1778	719
712	1781	716
713	1783	714
714	1785	711
715	1787	708
716	1789	706
717	1791	703
718	1793	701
719	1795	698
720	1797	695
721	1799	692
722	1801	690
723	1803	687
724	1806	685
725	1808	682
726	1811	680
727	1813	677
728	1815	674
729	1817	672
730	1820	669
731	1822	667
732	1823	664
733	1825	661
734	1827	659
735	1829	656
736	1831	653
737	1833	651
738	1836	648
739	1839	646
740	1841	643
741	1843	641
742	1845	638
743	1847	635
744	1850	633
745	1852	630
746	1854	628
747	1857	625
748	1858	622
749	1860	620
750	1862	617
751	1865	615
752	1867	612
753	1869	610
754	1872	607
755	1874	604
756	1876	602
757	1878	599
758	1881	597
759	1882	594
760	1885	592
761	1886	589
762	1889	586
763	1890	584
764	1892	581
765	1895	579
766	1897	576
767	1899	573
768	1901	571
769	1903	568
770	1905	565
771	1907	563
772	1910	560
773	1912	558
774	1914	555
775	1916	553
776	1918	550
777	1921	548
778	1924	545
779	1926	543
780	1928	540
781	1930	538
782	1932	535
783	1933	532
784	1935	530
785	1937	527
786	1940	525
787	1942	522
788	1944	520
789	1946	517
790	1948	514
791	1950	512
792	1951	509
793	1953	506
794	1955	504
795	1957	501
796	1959	499
797	1961	496
798	1963	493
799	1964	491
800	1966	488
801	1968	485
802	1970	483
803	1973	481
804	1975	478
805	1977	475
806	1979	473
807	1981	470
808	1982	468
809	1984	465
810	1987	463
811	1988	460
812	1990	457
813	1993	455
814	1994	452
815	1996	450
816	1998	447
817	2000	445
818	2002	442
819	2004	440
820	2006	437
821	2008	435
822	2010	432
823	2012	429
824	2014	427
825	2016	424
826	2018	422
827	2020	419
828	2022	417
829	2024	414
830	2026	412
831	2028	409
832	2030	407
833	2033	404
834	2035	402
835	2037	399
836	2039	397
837	2040	394
838	2042	392
839	2044	389
840	2046	386
841	2049	384
842	2051	381
843	2052	379
844	2054	376
845	2056	374
846	2058	371
847	2059	369
848	2061	366
849	2063	364
850	2065	361
851	2067	359
852	2069	356
853	2070	354
854	2072	351
855	2075	349
856	2077	346
857	2079	344
858	2081	341
859	2083	339
860	2084	336
861	2086	334
862	2088	331
863	2089	328
864	2091	326
865	2093	323
866	2095	321
867	2097	318
868	2098	316
869	2100	313
870	2102	311
871	2103	308
872	2105	306
873	2108	303
874	2110	301
875	2111	298
876	2113	296
877	2115	293
878	2117	291
